n_threads;time(s);mPow_size
8;0.0113782;11
8;0.0112413;11
8;0.0112474;11
8;0.0112069;11
16;0.00573704;11
16;0.00620279;11
16;0.00652073;11
16;0.00601482;11
16;0.00599573;11
32;0.00320922;11
32;0.00373758;11
32;0.00339523;11
32;0.00352985;11
32;0.00376049;11
64;0.00208057;11
64;0.00248928;11
64;0.00242353;11
64;0.00245804;11
64;0.00230182;11
96;0.0114258;11
96;0.00263387;11
96;0.00211553;11
96;0.00267419;11
96;0.00245473;11
1;0.254822;12
1;0.250311;12
1;0.246903;12
1;0.245119;12
1;0.244008;12
2;0.160896;12
2;0.172933;12
2;0.171595;12
2;0.173651;12
2;0.183173;12
4;0.0891297;12
4;0.0868645;12
4;0.0890534;12
4;0.0910332;12
4;0.0924967;12
8;0.0485844;12
8;0.0446635;12
8;0.0454325;12
8;0.0467228;12
8;0.047138;12
16;0.0251843;12
16;0.0235516;12
16;0.0241901;12
16;0.0246587;12
16;0.0248671;12
32;0.0132937;12
32;0.0130301;12
32;0.0133407;12
32;0.0134576;12
32;0.013352;12
64;0.00718617;12
64;0.00725658;12
64;0.00774006;12
64;0.00750639;12
64;0.0074714;12
96;0.0108457;12
96;0.00605966;12
96;0.00603179;12
96;0.00603898;12
96;0.00625074;12
